TYPE,DIST,LICNO,SS,ADR,INFO,EXPDATE,LPS_Id
KE,61,5461800422,ALLOY KARAOKE LOUNGE,"UNIT 1 TO 4, 3/F, HART AVENUE PLAZA, 5-9A HART AVENUE, TSIM SHA TSUI, KOWLOON",,2018-09-12,0
KE,61,5461800431,Toronto,"UNITS 7-9, LG/F, ENERGY PLAZA, 92 GRANVILLE ROAD, TSIM SHA TSUI EAST, KOWLOON",,2019-04-19,0
KE,61,5461800440,L & G KARAOKE NIGHT CLUB,"SHOP L (G/F), 1/F, BUCKINGHAM BUILDING, 317-321 NATHAN ROAD, JORDAN, KOWLOON",,2019-05-23,0
KE,61,5461800468,ORIENTAL NIGHT CLUB,"3/F, BUCKINGHAM BUILDING, 317-321 NATHAN ROAD, JORDAN, KOWLOON",,2019-07-20,0
KE,61,5461800477,JAPAN CITY KARAOKE NIGHT CLUB,"5/F, BUCKINGHAM BUILDING, 317-321 NATHAN ROAD, KOWLOON",,2019-07-26,0
KE,61,5461800486,Red Mr. Ktv,"1/F & 2/F, BCC BUILDING, 25-31 CARNARVON ROAD, TSIM SHA TSUI, KOWLOON",,2019-08-18,0
KE,61,5461800495,Club Talent,"3/F, CAMBRIDGE HOUSE, 26-28 CAMERON ROAD, TSIM SHA TSUI, KOWLOON",,2017-10-13,0
KE,61,5461800510,Place To Go Night Club,"2/F, 2-6 NANKING STREET & 86-90 PARKES STREET, KOWLOON",,2017-11-30,0
KE,61,5461800529,CLUB A PLUS,"2/F, GOLDEN DRAGON CENTRE, 38-40 CAMERON ROAD, TSIM SHA TSUI, KOWLOON",,2018-05-08,0
KE,61,5461800565,HOLLYWOOD NIGHT CLUB,"3/F, BOOMAN HOUSE, NO. 37U JORDAN ROAD, KOWLOON",,2019-03-17,0
KE,61,5461800574,Club De Marquis,"PORTION OF G/F, CINEMA 3-5 & UG2/F, CHINACHEM GOLDEN PLAZA, 77 MODY ROAD, TSIM SHA TSUI EAST, KOWLOON",,2019-08-04,0
KE,61,5461800617,PROSPERITY KARAOKE,"UNIT B1 & UNIT B2, 3/F, TSIMSHATSUI CENTRE, 66 MODY ROAD, TSIMSHATSUI EAST, KOWLOON",,2018-01-09,0
KE,61,5461800626,NEW INTERNATIONAL NIGHT CLUB,"1/F, WAI WAH COMMERCIAL BUILDING, 109-113 PORTLAND STREET, KOWLOON",,2018-08-05,0
