THEME,STATUS,REF_PER_COLLECT,SD_VALUE,CCYY,MM,BASEYEAR,ITEM_P,WAGE,ITEM,STAT_VAR,STAT_PRES,STAT_VALUE,table_Id
"CLBM","f","A","0","2013","3","","UPVC_32","","","PRICE","Raw","56",0
"CLBM","f","A","0","2013","3","","WALL_COLOR","","","PRICE","Raw","398",0
"CLBM","f","A","0","2013","3","","WALL_WHITE","","","PRICE","Raw","233",0
"CLBM","f","A","0","2013","4","","AGG","","","PRICE","Raw","62",0
"CLBM","f","A","0","2013","4","","BIT","","","PRICE","Raw","8820",0
"CLBM","f","A","0","2013","4","","CEMENT","","","PRICE","Raw","700",0
"CLBM","f","A","0","2013","4","","CONCRETE","","","PRICE","Raw","70",0
"CLBM","f","A","0","2013","4","","DIESEL_IND","","","PRICE","Raw","2060",0
"CLBM","f","A","0","2013","4","","DIESEL_RD","","","PRICE","Raw","1015",0
"CLBM","f","A","0","2013","4","","GLASS_SH","","","PRICE","Raw","151",0
"CLBM","f","A","0","2013","4","","GMS_ANGLE","","","PRICE","Raw","11823",0
"CLBM","f","A","0","2013","4","","GMS_FLAT","","","PRICE","Raw","10131",0
"CLBM","f","A","0","2013","4","","GMS_PLATE","","","PRICE","Raw","8771",0
"CLBM","f","A","0","2013","4","","HARDW_SAWN","","","PRICE","Raw","5502",0
"CLBM","f","A","0","2013","4","","HOMOF_200","","","PRICE","Raw","158",0
"CLBM","f","A","0","2013","4","","MF_SP","","","PRICE","Raw","5941",0
"CLBM","f","A","0","2013","4","","MOSAIC_18","","","PRICE","Raw","104",0
"CLBM","f","A","0","2013","4","","MOSAIC_25","","","PRICE","Raw","50",0
"CLBM","f","A","0","2013","4","","MOSAIC_45","","","PRICE","Raw","122",0
"CLBM","f","A","0","2013","4","","PAINT_ACRY","","","PRICE","Raw","48",0
"CLBM","f","A","0","2013","4","","PAINT_EMUL","","","PRICE","Raw","51",0
"CLBM","f","A","0","2013","4","","SAND","","","PRICE","Raw","120",0
"CLBM","f","A","0","2013","4","","SR_HIGH","","","PRICE","Raw","5343",0
"CLBM","f","A","0","2013","4","","SR_ROUND","","","PRICE","Raw","6015",0
"CLBM","f","A","0","2013","4","","TF_PLY","","","PRICE","Raw","74",0
"CLBM","f","A","0","2013","4","","TF_SAWN","","","PRICE","Raw","3814",0
"CLBM","f","A","0","2013","4","","UPVC_32","","","PRICE","Raw","56",0
"CLBM","f","A","0","2013","4","","WALL_COLOR","","","PRICE","Raw","398",0
"CLBM","f","A","0","2013","4","","WALL_WHITE","","","PRICE","Raw","233",0
"CLBM","f","A","0","2013","5","","AGG","","","PRICE","Raw","58",0
"CLBM","f","A","0","2013","5","","BIT","","","PRICE","Raw","8820",0
"CLBM","f","A","0","2013","5","","CEMENT","","","PRICE","Raw","700",0
"CLBM","f","A","0","2013","5","","CONCRETE","","","PRICE","Raw","72",0
"CLBM","f","A","0","2013","5","","DIESEL_IND","","","PRICE","Raw","2050",0
"CLBM","f","A","0","2013","5","","DIESEL_RD","","","PRICE","Raw","1011",0
"CLBM","f","A","0","2013","5","","GLASS_SH","","","PRICE","Raw","151",0
"CLBM","f","A","0","2013","5","","GMS_ANGLE","","","PRICE","Raw","11823",0
"CLBM","f","A","0","2013","5","","GMS_FLAT","","","PRICE","Raw","10076",0
"CLBM","f","A","0","2013","5","","GMS_PLATE","","","PRICE","Raw","8780",0
"CLBM","f","A","0","2013","5","","HARDW_SAWN","","","PRICE","Raw","5502",0
"CLBM","f","A","0","2013","5","","HOMOF_200","","","PRICE","Raw","158",0
"CLBM","f","A","0","2013","5","","MF_SP","","","PRICE","Raw","5919",0
"CLBM","f","A","0","2013","5","","MOSAIC_18","","","PRICE","Raw","104",0
"CLBM","f","A","0","2013","5","","MOSAIC_25","","","PRICE","Raw","50",0
"CLBM","f","A","0","2013","5","","MOSAIC_45","","","PRICE","Raw","122",0
"CLBM","f","A","0","2013","5","","PAINT_ACRY","","","PRICE","Raw","49",0
"CLBM","f","A","0","2013","5","","PAINT_EMUL","","","PRICE","Raw","51",0
"CLBM","f","A","0","2013","5","","SAND","","","PRICE","Raw","120",0
"CLBM","f","A","0","2013","5","","SR_HIGH","","","PRICE","Raw","5226",0
"CLBM","f","A","0","2013","5","","SR_ROUND","","","PRICE","Raw","5958",0
"CLBM","f","A","0","2013","5","","TF_PLY","","","PRICE","Raw","74",0
"CLBM","f","A","0","2013","5","","TF_SAWN","","","PRICE","Raw","3814",0
"CLBM","f","A","0","2013","5","","UPVC_32","","","PRICE","Raw","56",0
"CLBM","f","A","0","2013","5","","WALL_COLOR","","","PRICE","Raw","398",0
"CLBM","f","A","0","2013","5","","WALL_WHITE","","","PRICE","Raw","233",0
"CLBM","f","A","0","2013","6","","AGG","","","PRICE","Raw","60",0
"CLBM","f","A","0","2013","6","","BIT","","","PRICE","Raw","8803",0
"CLBM","f","A","0","2013","6","","CEMENT","","","PRICE","Raw","700",0
"CLBM","f","A","0","2013","6","","CONCRETE","","","PRICE","Raw","72",0
"CLBM","f","A","0","2013","6","","DIESEL_IND","","","PRICE","Raw","2075",0
"CLBM","f","A","0","2013","6","","DIESEL_RD","","","PRICE","Raw","1030",0
"CLBM","f","A","0","2013","6","","GLASS_SH","","","PRICE","Raw","151",0
"CLBM","f","A","0","2013","6","","GMS_ANGLE","","","PRICE","Raw","11823",0
"CLBM","f","A","0","2013","6","","GMS_FLAT","","","PRICE","Raw","10076",0
"CLBM","f","A","0","2013","6","","GMS_PLATE","","","PRICE","Raw","8773",0
"CLBM","f","A","0","2013","6","","HARDW_SAWN","","","PRICE","Raw","5502",0
"CLBM","f","A","0","2013","6","","HOMOF_200","","","PRICE","Raw","158",0
"CLBM","f","A","0","2013","6","","MF_SP","","","PRICE","Raw","5848",0
"CLBM","f","A","0","2013","6","","MOSAIC_18","","","PRICE","Raw","104",0
"CLBM","f","A","0","2013","6","","MOSAIC_25","","","PRICE","Raw","50",0
"CLBM","f","A","0","2013","6","","MOSAIC_45","","","PRICE","Raw","122",0
"CLBM","f","A","0","2013","6","","PAINT_ACRY","","","PRICE","Raw","49",0
"CLBM","f","A","0","2013","6","","PAINT_EMUL","","","PRICE","Raw","52",0
"CLBM","f","A","0","2013","6","","SAND","","","PRICE","Raw","122",0
"CLBM","f","A","0","2013","6","","SR_HIGH","","","PRICE","Raw","5099",0
"CLBM","f","A","0","2013","6","","SR_ROUND","","","PRICE","Raw","5870",0
"CLBM","f","A","0","2013","6","","TF_PLY","","","PRICE","Raw","74",0
"CLBM","f","A","0","2013","6","","TF_SAWN","","","PRICE","Raw","3814",0
"CLBM","f","A","0","2013","6","","UPVC_32","","","PRICE","Raw","57",0
"CLBM","f","A","0","2013","6","","WALL_COLOR","","","PRICE","Raw","398",0
"CLBM","f","A","0","2013","6","","WALL_WHITE","","","PRICE","Raw","233",0
"CLBM","f","A","0","2013","7","","AGG","","","PRICE","Raw","58",0
"CLBM","f","A","0","2013","7","","BIT","","","PRICE","Raw","8770",0
"CLBM","f","A","0","2013","7","","CEMENT","","","PRICE","Raw","698",0
"CLBM","f","A","0","2013","7","","CONCRETE","","","PRICE","Raw","72",0
"CLBM","f","A","0","2013","7","","DIESEL_IND","","","PRICE","Raw","2092",0
"CLBM","f","A","0","2013","7","","DIESEL_RD","","","PRICE","Raw","1047",0
"CLBM","f","A","0","2013","7","","GLASS_SH","","","PRICE","Raw","151",0
"CLBM","f","A","0","2013","7","","GMS_ANGLE","","","PRICE","Raw","11823",0
"CLBM","f","A","0","2013","7","","GMS_FLAT","","","PRICE","Raw","10131",0
"CLBM","f","A","0","2013","7","","GMS_PLATE","","","PRICE","Raw","8783",0
"CLBM","f","A","0","2013","7","","HARDW_SAWN","","","PRICE","Raw","5502",0
"CLBM","f","A","0","2013","7","","HOMOF_200","","","PRICE","Raw","158",0
"CLBM","f","A","0","2013","7","","MF_SP","","","PRICE","Raw","5817",0
"CLBM","f","A","0","2013","7","","MOSAIC_18","","","PRICE","Raw","104",0
"CLBM","f","A","0","2013","7","","MOSAIC_25","","","PRICE","Raw","50",0
"CLBM","f","A","0","2013","7","","MOSAIC_45","","","PRICE","Raw","129",0
"CLBM","f","A","0","2013","7","","PAINT_ACRY","","","PRICE","Raw","49",0
"CLBM","f","A","0","2013","7","","PAINT_EMUL","","","PRICE","Raw","52",0
"CLBM","f","A","0","2013","7","","SAND","","","PRICE","Raw","122",0
"CLBM","f","A","0","2013","7","","SR_HIGH","","","PRICE","Raw","5169",0
"CLBM","f","A","0","2013","7","","SR_ROUND","","","PRICE","Raw","5910",0
"CLBM","f","A","0","2013","7","","TF_PLY","","","PRICE","Raw","75",0
"CLBM","f","A","0","2013","7","","TF_SAWN","","","PRICE","Raw","3814",0
"CLBM","f","A","0","2013","7","","UPVC_32","","","PRICE","Raw","56",0
"CLBM","f","A","0","2013","7","","WALL_COLOR","","","PRICE","Raw","398",0
"CLBM","f","A","0","2013","7","","WALL_WHITE","","","PRICE","Raw","233",0
"CLBM","f","A","0","2013","8","","AGG","","","PRICE","Raw","60",0
"CLBM","f","A","0","2013","8","","BIT","","","PRICE","Raw","8717",0
"CLBM","f","A","0","2013","8","","CEMENT","","","PRICE","Raw","697",0
"CLBM","f","A","0","2013","8","","CONCRETE","","","PRICE","Raw","72",0
"CLBM","f","A","0","2013","8","","DIESEL_IND","","","PRICE","Raw","2106",0
"CLBM","f","A","0","2013","8","","DIESEL_RD","","","PRICE","Raw","1054",0
"CLBM","f","A","0","2013","8","","GLASS_SH","","","PRICE","Raw","151",0
"CLBM","f","A","0","2013","8","","GMS_ANGLE","","","PRICE","Raw","11823",0
"CLBM","f","A","0","2013","8","","GMS_FLAT","","","PRICE","Raw","10131",0
"CLBM","f","A","0","2013","8","","GMS_PLATE","","","PRICE","Raw","8783",0
"CLBM","f","A","0","2013","8","","HARDW_SAWN","","","PRICE","Raw","5502",0
"CLBM","f","A","0","2013","8","","HOMOF_200","","","PRICE","Raw","158",0
"CLBM","f","A","0","2013","8","","MF_SP","","","PRICE","Raw","5800",0
"CLBM","f","A","0","2013","8","","MOSAIC_18","","","PRICE","Raw","109",0
"CLBM","f","A","0","2013","8","","MOSAIC_25","","","PRICE","Raw","50",0
"CLBM","f","A","0","2013","8","","MOSAIC_45","","","PRICE","Raw","129",0
"CLBM","f","A","0","2013","8","","PAINT_ACRY","","","PRICE","Raw","49",0
"CLBM","f","A","0","2013","8","","PAINT_EMUL","","","PRICE","Raw","52",0
"CLBM","f","A","0","2013","8","","SAND","","","PRICE","Raw","123",0
"CLBM","f","A","0","2013","8","","SR_HIGH","","","PRICE","Raw","5220",0
"CLBM","f","A","0","2013","8","","SR_ROUND","","","PRICE","Raw","5980",0
"CLBM","f","A","0","2013","8","","TF_PLY","","","PRICE","Raw","74",0
"CLBM","f","A","0","2013","8","","TF_SAWN","","","PRICE","Raw","3814",0
"CLBM","f","A","0","2013","8","","UPVC_32","","","PRICE","Raw","56",0
"CLBM","f","A","0","2013","8","","WALL_COLOR","","","PRICE","Raw","398",0
"CLBM","f","A","0","2013","8","","WALL_WHITE","","","PRICE","Raw","243",0
"CLBM","f","A","0","2013","9","","AGG","","","PRICE","Raw","56",0
"CLBM","f","A","0","2013","9","","BIT","","","PRICE","Raw","8690",0
"CLBM","f","A","0","2013","9","","CEMENT","","","PRICE","Raw","697",0
"CLBM","f","A","0","2013","9","","CONCRETE","","","PRICE","Raw","72",0
"CLBM","f","A","0","2013","9","","DIESEL_IND","","","PRICE","Raw","2111",0
"CLBM","f","A","0","2013","9","","DIESEL_RD","","","PRICE","Raw","1062",0
"CLBM","f","A","0","2013","9","","GLASS_SH","","","PRICE","Raw","151",0
"CLBM","f","A","0","2013","9","","GMS_ANGLE","","","PRICE","Raw","11823",0
"CLBM","f","A","0","2013","9","","GMS_FLAT","","","PRICE","Raw","10131",0
"CLBM","f","A","0","2013","9","","GMS_PLATE","","","PRICE","Raw","8783",0
"CLBM","f","A","0","2013","9","","HARDW_SAWN","","","PRICE","Raw","5502",0
"CLBM","f","A","0","2013","9","","HOMOF_200","","","PRICE","Raw","158",0
"CLBM","f","A","0","2013","9","","MF_SP","","","PRICE","Raw","5800",0
"CLBM","f","A","0","2013","9","","MOSAIC_18","","","PRICE","Raw","109",0
"CLBM","f","A","0","2013","9","","MOSAIC_25","","","PRICE","Raw","50",0
"CLBM","f","A","0","2013","9","","MOSAIC_45","","","PRICE","Raw","129",0
"CLBM","f","A","0","2013","9","","PAINT_ACRY","","","PRICE","Raw","49",0
"CLBM","f","A","0","2013","9","","PAINT_EMUL","","","PRICE","Raw","52",0
"CLBM","f","A","0","2013","9","","SAND","","","PRICE","Raw","119",0
"CLBM","f","A","0","2013","9","","SR_HIGH","","","PRICE","Raw","5195",0
"CLBM","f","A","0","2013","9","","SR_ROUND","","","PRICE","Raw","5960",0
"CLBM","f","A","0","2013","9","","TF_PLY","","","PRICE","Raw","75",0
"CLBM","f","A","0","2013","9","","TF_SAWN","","","PRICE","Raw","3814",0
"CLBM","f","A","0","2013","9","","UPVC_32","","","PRICE","Raw","56",0
"CLBM","f","A","0","2013","9","","WALL_COLOR","","","PRICE","Raw","398",0
"CLBM","f","A","0","2013","9","","WALL_WHITE","","","PRICE","Raw","243",0
"CLBM","f","A","0","2013","10","","AGG","","","PRICE","Raw","58",0
"CLBM","f","A","0","2013","10","","BIT","","","PRICE","Raw","8690",0
"CLBM","f","A","0","2013","10","","CEMENT","","","PRICE","Raw","697",0
"CLBM","f","A","0","2013","10","","CONCRETE","","","PRICE","Raw","72",0
"CLBM","f","A","0","2013","10","","DIESEL_IND","","","PRICE","Raw","2103",0
"CLBM","f","A","0","2013","10","","DIESEL_RD","","","PRICE","Raw","1059",0
"CLBM","f","A","0","2013","10","","GLASS_SH","","","PRICE","Raw","151",0
"CLBM","f","A","0","2013","10","","GMS_ANGLE","","","PRICE","Raw","11823",0
"CLBM","f","A","0","2013","10","","GMS_FLAT","","","PRICE","Raw","10131",0
"CLBM","f","A","0","2013","10","","GMS_PLATE","","","PRICE","Raw","8783",0
"CLBM","f","A","0","2013","10","","HARDW_SAWN","","","PRICE","Raw","5502",0
"CLBM","f","A","0","2013","10","","HOMOF_200","","","PRICE","Raw","158",0
"CLBM","f","A","0","2013","10","","MF_SP","","","PRICE","Raw","5800",0
"CLBM","f","A","0","2013","10","","MOSAIC_18","","","PRICE","Raw","109",0
"CLBM","f","A","0","2013","10","","MOSAIC_25","","","PRICE","Raw","50",0
"CLBM","f","A","0","2013","10","","MOSAIC_45","","","PRICE","Raw","129",0
"CLBM","f","A","0","2013","10","","PAINT_ACRY","","","PRICE","Raw","49",0
"CLBM","f","A","0","2013","10","","PAINT_EMUL","","","PRICE","Raw","52",0
"CLBM","f","A","0","2013","10","","SAND","","","PRICE","Raw","119",0
"CLBM","f","A","0","2013","10","","SR_HIGH","","","PRICE","Raw","5117",0
"CLBM","f","A","0","2013","10","","SR_ROUND","","","PRICE","Raw","5900",0
"CLBM","f","A","0","2013","10","","TF_PLY","","","PRICE","Raw","75",0
"CLBM","f","A","0","2013","10","","TF_SAWN","","","PRICE","Raw","3814",0
"CLBM","f","A","0","2013","10","","UPVC_32","","","PRICE","Raw","56",0
"CLBM","f","A","0","2013","10","","WALL_COLOR","","","PRICE","Raw","398",0
"CLBM","f","A","0","2013","10","","WALL_WHITE","","","PRICE","Raw","243",0
"CLBM","f","A","0","2013","11","","AGG","","","PRICE","Raw","58",0
"CLBM","f","A","0","2013","11","","BIT","","","PRICE","Raw","8663",0
"CLBM","f","A","0","2013","11","","CEMENT","","","PRICE","Raw","697",0
"CLBM","f","A","0","2013","11","","CONCRETE","","","PRICE","Raw","72",0
"CLBM","f","A","0","2013","11","","DIESEL_IND","","","PRICE","Raw","2125",0
"CLBM","f","A","0","2013","11","","DIESEL_RD","","","PRICE","Raw","1056",0
"CLBM","f","A","0","2013","11","","GLASS_SH","","","PRICE","Raw","151",0
"CLBM","f","A","0","2013","11","","GMS_ANGLE","","","PRICE","Raw","11823",0
"CLBM","f","A","0","2013","11","","GMS_FLAT","","","PRICE","Raw","10131",0
"CLBM","f","A","0","2013","11","","GMS_PLATE","","","PRICE","Raw","9541",0
"CLBM","f","A","0","2013","11","","HARDW_SAWN","","","PRICE","Raw","5502",0
"CLBM","f","A","0","2013","11","","HOMOF_200","","","PRICE","Raw","158",0
"CLBM","f","A","0","2013","11","","MF_SP","","","PRICE","Raw","5787",0
"CLBM","f","A","0","2013","11","","MOSAIC_18","","","PRICE","Raw","109",0
"CLBM","f","A","0","2013","11","","MOSAIC_25","","","PRICE","Raw","50",0
"CLBM","f","A","0","2013","11","","MOSAIC_45","","","PRICE","Raw","129",0
"CLBM","f","A","0","2013","11","","PAINT_ACRY","","","PRICE","Raw","49",0
"CLBM","f","A","0","2013","11","","PAINT_EMUL","","","PRICE","Raw","52",0
